DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/16/2018,0:10,MANHATTAN,10010,40.742275,-73.988914,"(40.742275, -73.988914)",5 AVENUE                        ,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021880,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/16/2018,0:40,,,40.76272,-73.72817,"(40.76272, -73.72817)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,4021727,Sedan,Pick-up Truck,,,
11/16/2018,0:45,BROOKLYN,11211,40.710197,-73.95843,"(40.710197, -73.95843)",BORINQUEN PLACE                 ,HAVEMEYER STREET,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4021791,Taxi,Taxi,,,
11/16/2018,1:00,BRONX,10454,40.803555,-73.91184,"(40.803555, -73.91184)",EAST 137 STREET                 ,WILLOW AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4021878,Garbage or Refuse,Station Wagon/Sport Utility Vehicle,,,
11/16/2018,1:00,BROOKLYN,11221,40.694923,-73.915565,"(40.694923, -73.915565)",WILSON AVENUE                   ,PALMETTO STREET,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4021848,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/16/2018,1:20,,,40.8047,-73.91243,"(40.8047, -73.91243)",EAST 138 STREET                 ,BRUCKNER BOULEVARD,,1,0,1,0,0,0,0,0,,,,,,4021877,,,,,
11/16/2018,1:41,,,40.737682,-73.85206,"(40.737682, -73.85206)",108 STREET                      ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021798,Sedan,Sedan,,,
11/16/2018,2:50,BRONX,10451,40.819057,-73.92923,"(40.819057, -73.92923)",EAST 149 STREET                 ,GERARD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021864,Taxi,Taxi,,,
11/16/2018,4:22,,,40.81175,-73.93144,"(40.81175, -73.93144)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4021857,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/16/2018,5:30,QUEENS,11417,40.67887,-73.83419,"(40.67887, -73.83419)",ROCKAWAY BOULEVARD              ,CENTREVILLE AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4021833,,,,,
11/16/2018,5:45,MANHATTAN,10128,40.77918,-73.9508,"(40.77918, -73.9508)",EAST 88 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4021904,Station Wagon/Sport Utility Vehicle,,,,
11/16/2018,6:00,,,40.74315,-73.831924,"(40.74315, -73.831924)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4021865,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/16/2018,6:02,BROOKLYN,11206,40.7,-73.94064,"(40.7, -73.94064)",,,787       BROADWAY                      ,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4021892,Garbage or Refuse,Sedan,,,
11/16/2018,6:10,MANHATTAN,10128,40.78169,-73.94897,"(40.78169, -73.94897)",EAST 92 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021859,Sedan,Sedan,,,
11/15/2018,0:00,BROOKLYN,11228,40.620872,-74.00221,"(40.620872, -74.00221)",,,1421      71 STREET                     ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Alcohol Involvement,Unspecified,,,4021704,Sedan,Sedan,Sedan,,
11/15/2018,0:00,QUEENS,11004,40.752037,-73.7211,"(40.752037, -73.7211)",LITTLE NECK PARKWAY             ,260 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021596,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,0:00,QUEENS,11368,40.74989,-73.86259,"(40.74989, -73.86259)",,,103-03    ROOSEVELT AVENUE              ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4021503,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,0:00,QUEENS,11375,40.71614,-73.83357,"(40.71614, -73.83357)",QUEENS BOULEVARD                ,77 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4021235,Sedan,Sedan,Sedan,,
11/15/2018,0:00,,,40.64927,-74.009674,"(40.64927, -74.009674)",45 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4021611,Sedan,,,,
11/15/2018,0:00,,,40.610256,-74.0973,"(40.610256, -74.0973)",CLOVE ROAD                      ,EMERSON DRIVE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4021736,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,0:00,,,40.71042,-73.85964,"(40.71042, -73.85964)",WOODHAVEN BOULEVARD             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,4021629,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,0:00,QUEENS,11413,40.666405,-73.74538,"(40.666405, -73.74538)",NORTH CONDUIT AVENUE            ,230 PLACE,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,4021563,Station Wagon/Sport Utility Vehicle,,,,
